Longitude(deg)	Lattitude(deg)	Alttitude(km)
103.256	59.1432	113.658
103.256	59.1518	113.871
103.256	59.1604	114.083
103.256	59.169	114.296
103.256	59.1777	114.509
103.256	59.1863	114.722
103.256	59.1949	114.935
103.256	59.2035	115.148
103.256	59.2121	115.362
103.256	59.2208	115.576
103.256	59.2294	115.789
103.256	59.238	116.003
103.256	59.2466	116.217
103.256	59.2552	116.432
103.256	59.2638	116.646
103.256	59.2725	116.86
103.256	59.2811	117.075
103.256	59.2897	117.29
103.256	59.2983	117.505
103.256	59.3069	117.72
103.256	59.3155	117.935
103.256	59.3241	118.151
103.256	59.3328	118.366
103.256	59.3414	118.582
103.256	59.35	118.798
103.256	59.3586	119.014
103.256	59.3672	119.23
103.256	59.3758	119.446
103.256	59.3844	119.663
103.256	59.393	119.879
103.256	59.4016	120.096
103.256	59.4102	120.313
103.256	59.4189	120.53
103.256	59.4275	120.747
103.256	59.4361	120.964
103.256	59.4447	121.182
103.256	59.4533	121.399
103.256	59.4619	121.617
103.256	59.4705	121.835
103.256	59.4791	122.053
103.256	59.4877	122.271
103.256	59.4963	122.489
103.256	59.5049	122.708
103.256	59.5135	122.926
103.256	58.6142	106.746
103.256	58.6229	106.958
103.256	58.6315	107.17
103.256	58.6401	107.382
103.256	58.6488	107.595
103.256	58.6574	107.807
103.256	58.666	108.02
103.256	58.6747	108.233
103.256	58.6833	108.446
103.256	58.6919	108.659
103.256	58.7006	108.872
103.256	58.7092	109.086
103.256	58.7178	109.299
103.256	58.7264	109.513
103.256	58.7351	109.727
103.256	58.7437	109.941
103.256	58.7523	110.155
103.256	58.7609	110.37
103.256	58.7696	110.584
103.256	58.7782	110.799
103.256	58.7868	111.013
103.256	58.7954	111.228
103.256	58.8041	111.443
103.256	58.8127	111.659
103.256	58.8213	111.874
103.256	58.8299	112.089
103.256	58.8385	112.305
103.256	58.8472	112.521
103.256	58.8558	112.737
103.256	58.8644	112.953
103.256	58.873	113.169
103.256	58.8816	113.385
103.256	58.8903	113.602
103.256	58.8989	113.819
103.256	58.9075	114.035
103.256	58.9161	114.252
103.256	58.9247	114.469
103.256	58.9333	114.687
103.256	58.9419	114.904
103.256	58.9506	115.122
103.256	58.9592	115.339
103.256	58.9678	115.557
103.256	58.9764	115.775
103.256	58.985	115.993
103.256	58.9936	116.212
103.256	59.0022	116.43
103.256	59.0108	116.649
103.256	59.0194	116.867
103.256	59.028	117.086
103.256	59.0367	117.305
103.256	59.0453	117.524
103.256	59.0539	117.744
103.256	59.0625	117.963
103.256	59.0711	118.183
103.256	59.0797	118.403
103.256	59.0883	118.622
103.256	59.0969	118.842
103.256	59.1055	119.063
103.256	59.1141	119.283
103.256	59.1227	119.503
103.256	59.1313	119.724
103.256	59.1399	119.945
103.256	59.1485	120.166
103.256	59.1571	120.387
103.256	59.1657	120.608
103.256	59.1743	120.829
103.256	59.1829	121.051
103.256	59.1915	121.273
103.256	59.2001	121.494
103.256	59.2087	121.716
103.256	59.2173	121.938
103.256	58.3189	105.114
103.256	58.3275	105.329
103.256	58.3362	105.545
103.256	58.3448	105.761
103.256	58.3534	105.977
103.256	58.362	106.193
103.256	58.3707	106.409
103.256	58.3793	106.625
103.256	58.3879	106.842
103.256	58.3965	107.058
103.256	58.4052	107.275
103.256	58.4138	107.492
103.256	58.4224	107.709
103.256	58.431	107.926
103.256	58.4397	108.144
103.256	58.4483	108.361
103.256	58.4569	108.579
103.256	58.4655	108.797
103.256	58.4741	109.015
103.256	58.4828	109.233
103.256	58.4914	109.451
103.256	58.5	109.669
103.256	58.5086	109.888
103.256	58.5172	110.107
103.256	58.5259	110.325
103.256	58.5345	110.544
103.256	58.5431	110.764
103.256	58.5517	110.983
103.256	58.5603	111.202
103.256	58.5689	111.422
103.256	58.5775	111.641
103.256	58.5862	111.861
103.256	58.5948	112.081
103.256	58.6034	112.301
103.256	58.612	112.522
103.256	58.6206	112.742
103.256	58.6292	112.963
103.256	58.6378	113.184
103.256	58.6464	113.404
103.256	58.655	113.625
103.256	58.6636	113.847
103.256	58.6722	114.068
103.256	58.6809	114.289
103.256	58.6895	114.511
103.256	58.6981	114.733
103.256	58.7067	114.955
103.256	58.7153	115.177
103.256	58.7239	115.399
103.256	58.7325	115.621
103.256	58.7411	115.844
103.256	58.7497	116.066
103.256	58.7583	116.289
103.256	58.7669	116.512
103.256	58.7755	116.735
103.256	58.7841	116.959
103.256	58.7927	117.182
103.256	58.8013	117.405
103.256	58.8099	117.629
103.256	58.8185	117.853
